 TIME                    	time                     	freq                     	Toa                      	Tr                       	Ts-exp                   	Ts-sim                   	Pel-exp                  	Pel-sim                  	Qh-exp                   	Qh-sim                   	Qhair-exp                	
  +1.1000000000000001E+00	  +1.1000000000000001E+00	  +5.8548000000000002E+01	  +9.5619999999999994E+00	  +2.3353999999999999E+01	  +4.2036000000000001E+01	  +4.3740138932071318E+01	  +8.8537555555555547E-01	  +9.5271984491764705E-01	  +4.3215291666666662E+00	  +4.4265963529411758E+00	  +3.8354949999999999E+00	
  +1.1166666666666667E+00	  +1.1170000000000000E+00	  +5.8752000000000002E+01	  +9.6880000000000006E+00	  +2.3216999999999999E+01	  +4.2048999999999999E+01	  +4.3873654322336392E+01	  +8.8305111111111112E-01	  +9.5449137512268922E-01	  +4.3372144444444443E+00	  +4.4847259153661465E+00	  +3.8670397222222226E+00	
  +1.1333333333333333E+00	  +1.1330000000000000E+00	  +5.9960999999999999E+01	  +9.6470000000000002E+00	  +2.3219000000000001E+01	  +4.2023000000000003E+01	  +4.4145930848452444E+01	  +8.8749500000000003E-01	  +9.8645741331800552E-01	  +4.3317391666666669E+00	  +4.5434141055363311E+00	  +3.8614369444444447E+00	
  +1.1499999999999999E+00	  +1.1499999999999999E+00	  +5.9576999999999998E+01	  +9.4809999999999999E+00	  +2.3154000000000000E+01	  +4.2014000000000003E+01	  +4.3810621712851052E+01	  +8.8214416666666673E-01	  +9.7677510808598633E-01	  +4.3391933333333332E+00	  +4.4844400842807719E+00	  +3.8734772222222222E+00	
  +1.1666666666666667E+00	  +1.1670000000000000E+00	  +5.8564999999999998E+01	  +9.5039999999999996E+00	  +2.3245999999999999E+01	  +4.2012000000000000E+01	  +4.3613588616314871E+01	  +8.8032805555555560E-01	  +9.5246004645378146E-01	  +4.3210102777777779E+00	  +4.4220942602040818E+00	  +3.8535441666666665E+00	
  +1.1833333333333333E+00	  +1.1830000000000001E+00	  +5.8070999999999998E+01	  +9.4830000000000005E+00	  +2.3358000000000001E+01	  +4.2094000000000001E+01	  +4.3515454572338150E+01	  +9.0333638888888890E-01	  +9.4197380364614414E-01	  +4.3225355555555556E+00	  +4.3769578223112777E+00	  +3.8463227777777780E+00	
  +1.2000000000000000E+00	  +1.2000000000000000E+00	  +6.0765000000000001E+01	  +9.6419999999999995E+00	  +2.3173999999999999E+01	  +4.2073999999999998E+01	  +4.4312935269106575E+01	  +8.7416861111111110E-01	  +1.0088214138929810E+00	  +4.3319972222222223E+00	  +4.5892381833910028E+00	  +3.8812236111111114E+00	
  +1.2166666666666666E+00	  +1.2170000000000001E+00	  +5.9475999999999999E+01	  +9.6500000000000004E+00	  +2.3135999999999999E+01	  +4.1944000000000003E+01	  +4.3983578634216862E+01	  +8.5954583333333323E-01	  +9.7167806996539818E-01	  +4.3202077777777781E+00	  +4.5258155898594721E+00	  +3.8633105555555556E+00	
  +1.2333333333333334E+00	  +1.2330000000000001E+00	  +5.7512999999999998E+01	  +9.5000000000000000E+00	  +2.3271999999999998E+01	  +4.2081000000000003E+01	  +4.3334013387339077E+01	  +8.8900527777777771E-01	  +9.2689583536826481E-01	  +4.3263438888888892E+00	  +4.3558616927123781E+00	  +3.8617569444444446E+00	
  +1.2500000000000000E+00	  +1.2500000000000000E+00	  +5.9722999999999999E+01	  +9.5109999999999992E+00	  +2.3283000000000001E+01	  +4.2061000000000000E+01	  +4.3954506669297160E+01	  +8.6599388888888884E-01	  +9.8228152776271616E-01	  +4.3270991666666667E+00	  +4.4882437441917942E+00	  +3.8555774999999999E+00	
